Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,1981_change,1982_change,1983_change,1984_change,1985_change,1986_change,1987_change,1988_change,1989_change,1990_change,1991_change,1992_change,1993_change,1994_change,1995_change,1996_change,1997_change,1998_change,1999_change,2000_change,2001_change,2002_change,2003_change,2004_change,2005_change,2006_change,2007_change,2008_change,2009_change,2010_change,2011_change,2012_change,2013_change,2014_change,2015_change,2016_change,2017_change,2018_change,2019_change,2020_change,2021_change,2022_change,2023_change,2024_change,2025_change,2026_change,2027_change,2028_change,2029_change
Austria,80.923,70.121,70.111,71.032,67.007,68.624,97.375,121.771,133.591,133.263,166.866,174.435,195.506,190.383,203.97,241.234,237.343,213.045,218.557,217.475,197.377,197.51,214.243,262.208,301.321,316.267,336.298,389.231,432.005,401.323,392.595,431.609,409.661,430.197,442.699,382.01,395.728,417.114,455.198,444.645,434.701,479.614,471.374,517.662,535.804,559.218,584.462,605.492,624.408,643.252,,-13.35,-0.01,1.31,-5.67,2.41,41.90,25.05,9.71,-0.25,25.22,4.54,12.08,-2.62,7.14,18.27,-1.61,-10.24,2.59,-0.50,-9.24,0.07,8.47,22.39,14.92,4.96,6.33,15.74,10.99,-7.10,-2.17,9.94,-5.09,5.01,2.91,-13.71,3.59,5.40,9.13,-2.32,-2.24,10.33,-1.72,9.82,3.50,4.37,4.51,3.60,3.12,3.02
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.193,1.309,2.258,2.417,3.177,4.317,4.28,4.581,5.273,5.475,6.232,7.276,8.682,13.239,20.983,33.05,48.852,44.297,52.909,65.952,69.684,74.164,75.235,52.997,37.83,41.375,47.113,48.174,42.693,54.825,78.807,72.356,75.649,77.041,80.407,84.138,88.41,93.196,,,,,,,,,,,,,,9.72,72.50,7.04,31.44,35.88,-0.86,7.03,15.11,3.83,13.83,16.75,19.32,52.49,58.49,57.51,47.81,-9.32,19.44,24.65,5.66,6.43,1.44,-29.56,-28.62,9.37,13.87,2.25,-11.38,28.42,43.74,-8.19,4.55,1.84,4.37,4.64,5.08,5.41
"Bahamas, The",2.598,2.692,3.031,3.373,3.603,3.923,4.241,4.669,4.855,5.473,5.218,5.128,5.125,5.097,5.372,5.653,5.95,6.332,6.833,7.684,8.076,8.318,8.881,8.87,9.055,9.836,10.167,10.618,10.526,9.982,10.096,10.07,10.72,10.396,10.974,11.672,11.745,12.237,12.616,13.016,9.958,11.369,13.136,14.338,14.825,15.342,15.878,16.42,17.006,17.623,,3.62,12.59,11.28,6.82,8.88,8.11,10.09,3.98,12.73,-4.66,-1.72,-0.06,-0.55,5.40,5.23,5.25,6.42,7.91,12.45,5.10,3.00,6.77,-0.12,2.09,8.63,3.37,4.44,-0.87,-5.17,1.14,-0.26,6.45,-3.02,5.56,6.36,0.63,4.19,3.10,3.17,-23.49,14.17,15.54,9.15,3.40,3.49,3.49,3.41,3.57,3.63
Bahrain,3.745,4.228,4.445,4.554,4.727,4.46,3.49,3.78,4.672,4.873,5.176,5.43,5.673,6.241,6.683,7.075,7.357,7.629,7.293,7.905,9.448,9.579,10.001,11.546,13.709,16.647,19.291,22.653,26.803,23.913,26.806,29.915,31.963,33.823,34.773,32.523,33.885,37.205,39.568,40.447,35.838,40.84,46.68,46.08,47.812,49.535,51.694,53.999,56.495,59.235,,12.90,5.13,2.45,3.80,-5.65,-21.75,8.31,23.60,4.30,6.22,4.91,4.48,10.01,7.08,5.87,3.99,3.70,-4.40,8.39,19.52,1.39,4.41,15.45,18.73,21.43,15.88,17.43,18.32,-10.78,12.10,11.60,6.85,5.82,2.81,-6.47,4.19,9.80,6.35,2.22,-11.40,13.96,14.30,-1.29,3.76,3.60,4.36,4.46,4.62,4.85
Bangladesh,24.775,26.355,24.678,23.904,26.817,28.819,29.639,32.449,34.914,38.07,41.068,42.488,43.292,43.684,46.438,51.842,55.445,57.599,59.879,61.526,61.687,62.537,65.036,71.755,77.152,79.53,86.028,95.374,109.765,122.76,138.094,154.097,159.749,179.676,207.102,233.687,265.236,293.755,321.379,351.238,373.902,416.265,460.201,451.534,451.468,481.856,540.62,591.936,650.46,719.246,,6.38,-6.36,-3.14,12.19,7.47,2.85,9.48,7.60,9.04,7.87,3.46,1.89,0.91,6.30,11.64,6.95,3.88,3.96,2.75,0.26,1.38,4.00,10.33,7.52,3.08,8.17,10.86,15.09,11.84,12.49,11.59,3.67,12.47,15.26,12.84,13.50,10.75,9.40,9.29,6.45,11.33,10.55,-1.88,-0.01,6.73,12.20,9.49,9.89,10.57
Barbados,1.048,1.154,1.205,1.28,1.395,1.46,1.603,1.765,1.877,2.077,2.084,2.092,2.015,2.136,2.227,2.348,2.515,2.667,3.057,3.21,3.312,3.306,3.364,3.479,3.754,4.213,4.702,5.273,5.401,5.064,5.138,5.302,5.233,5.338,5.366,5.288,5.331,5.517,5.63,5.788,5.168,5.275,6.257,6.721,7.201,7.647,8.04,8.44,8.85,9.286,,10.11,4.42,6.22,8.98,4.66,9.79,10.11,6.35,10.66,0.34,0.38,-3.68,6.00,4.26,5.43,7.11,6.04,14.62,5.00,3.18,-0.18,1.75,3.42,7.90,12.23,11.61,12.14,2.43,-6.24,1.46,3.19,-1.30,2.01,0.52,-1.45,0.81,3.49,2.05,2.81,-10.71,2.07,18.62,7.42,7.14,6.19,5.14,4.98,4.86,4.93
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.8,11.408,15.687,10.532,14.494,14.091,15.215,12.133,10.785,12.778,15.092,18.42,23.928,31.239,38.219,46.815,62.798,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,60.011,64.414,61.312,68.207,72.835,71.792,73.129,76.873,80.269,83.735,87.685,91.426,,,,,,,,,,,,,,-10.88,37.51,-32.86,37.62,-2.78,7.98,-20.26,-11.11,18.48,18.11,22.05,29.90,30.55,22.34,22.49,34.14,-19.02,12.52,7.25,7.01,14.96,4.29,-28.46,-15.31,14.72,9.66,7.34,-4.82,11.25,6.79,-1.43,1.86,5.12,4.42,4.32,4.72,4.27
Belgium,123.478,102.245,89.958,85.037,81.237,84.467,117.063,145.411,158.097,159.816,200.149,205.369,228.732,218.72,238.622,288.301,279.292,253.022,258.876,258.5,236.897,236.748,258.2,318.004,369.047,385.927,408.281,470.978,517.27,482.73,481.814,523.239,496.467,521.799,535.529,462.383,475.931,502.587,543.546,535.925,525.6,601.305,584.073,632.399,662.183,689.364,712.129,731.863,752.545,775.427,,-17.20,-12.02,-5.47,-4.47,3.98,38.59,24.22,8.72,1.09,25.24,2.61,11.38,-4.38,9.10,20.82,-3.12,-9.41,2.31,-0.15,-8.36,-0.06,9.06,23.16,16.05,4.57,5.79,15.36,9.83,-6.68,-0.19,8.60,-5.12,5.10,2.63,-13.66,2.93,5.60,8.15,-1.40,-1.93,14.40,-2.87,8.27,4.71,4.10,3.30,2.77,2.83,3.04
Belize,0.223,0.232,0.232,0.244,0.273,0.271,0.295,0.345,0.407,0.47,0.533,0.578,0.672,0.726,0.75,0.796,0.828,0.845,0.892,0.95,1.082,1.129,1.199,1.267,1.356,1.427,1.584,1.699,1.732,1.681,1.739,1.819,1.9,2.022,2.125,2.195,2.241,2.267,2.293,2.387,2.048,2.425,2.831,3.069,3.342,3.488,3.617,3.743,3.87,3.997,,4.04,0.00,5.17,11.89,-0.73,8.86,16.95,17.97,15.48,13.40,8.44,16.26,8.04,3.31,6.13,4.02,2.05,5.56,6.50,13.89,4.34,6.20,5.67,7.02,5.24,11.00,7.26,1.94,-2.94,3.45,4.60,4.45,6.42,5.09,3.29,2.10,1.16,1.15,4.10,-14.20,18.41,16.74,8.41,8.90,4.37,3.70,3.48,3.39,3.28
Benin,2.302,1.557,1.542,1.365,1.456,1.58,2.036,2.43,2.552,2.37,2.89,2.954,3.284,3.199,2.227,2.993,3.251,3.124,3.362,3.681,3.522,3.666,4.191,5.348,6.187,6.571,7.034,8.17,9.787,9.728,9.543,10.691,11.148,12.518,13.288,11.389,11.818,12.697,14.257,14.392,15.674,17.699,17.439,19.679,21.322,23.066,24.962,26.999,29.162,31.464,,-32.36,-0.96,-11.48,6.67,8.52,28.86,19.35,5.02,-7.13,21.94,2.21,11.17,-2.59,-30.38,34.40,8.62,-3.91,7.62,9.49,-4.32,4.09,14.32,27.61,15.69,6.21,7.05,16.15,19.79,-0.60,-1.90,12.03,4.27,12.29,6.15,-14.29,3.77,7.44,12.29,0.95,8.91,12.92,-1.47,12.84,8.35,8.18,8.22,8.16,8.01,7.89
