Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,1981_change,1982_change,1983_change,1984_change,1985_change,1986_change,1987_change,1988_change,1989_change,1990_change,1991_change,1992_change,1993_change,1994_change,1995_change,1996_change,1997_change,1998_change,1999_change,2000_change,2001_change,2002_change,2003_change,2004_change,2005_change,2006_change,2007_change,2008_change,2009_change,2010_change,2011_change,2012_change,2013_change,2014_change,2015_change,2016_change,2017_change,2018_change,2019_change,2020_change,2021_change,2022_change,2023_change,2024_change,2025_change,2026_change,2027_change,2028_change,2029_change
Cambodia,no data,no data,no data,no data,no data,no data,0.205,0.141,0.276,0.346,0.898,2.007,2.435,2.422,2.76,3.43,3.509,3.462,3.132,3.522,3.707,4.154,4.507,5.054,5.879,7.058,8.342,10.117,12.162,12.49,13.796,16.017,17.829,19.806,22.04,24.217,26.591,29.394,33.181,36.682,34.898,36.797,39.838,43.304,47.147,51.159,55.746,60.688,66.005,71.761,,,,,,,,-31.22,95.74,25.36,159.54,123.50,21.33,-0.53,13.96,24.28,2.30,-1.34,-9.53,12.45,5.25,12.06,8.50,12.14,16.32,20.05,18.19,21.28,20.21,2.70,10.46,16.10,11.31,11.09,11.28,9.88,9.80,10.54,12.88,10.55,-4.86,5.44,8.26,8.70,8.87,8.51,8.97,8.87,8.76,8.72
Cameroon,8.85,10.026,9.616,9.692,10.243,10.698,13.945,16.152,16.403,14.626,14.641,16.325,14.963,15.611,10.622,10.075,11.227,11.352,11.338,11.553,10.245,10.95,12.369,15.944,18.803,19.534,20.912,23.931,27.712,27.903,27.53,30.626,30.174,33.729,36.396,32.213,33.805,36.086,39.992,39.673,40.863,45.036,44.442,49.287,53.391,57.746,62.079,66.361,71.204,76.417,,13.29,-4.09,0.79,5.69,4.44,30.35,15.83,1.55,-10.83,0.10,11.50,-8.34,4.33,-31.96,-5.15,11.43,1.11,-0.12,1.90,-11.32,6.88,12.96,28.90,17.93,3.89,7.05,14.44,15.80,0.69,-1.34,11.25,-1.48,11.78,7.91,-11.49,4.94,6.75,10.82,-0.80,3.00,10.21,-1.32,10.90,8.33,8.16,7.50,6.90,7.30,7.32
Canada,276.064,307.246,314.639,341.863,356.728,366.184,379.015,433.14,509.38,567.225,596.089,612.514,594.376,579.059,579.913,605.941,630.598,655.01,634.004,678.417,744.631,738.968,760.149,895.599,1026.473,1173.505,1319.356,1468.896,1552.864,1376.509,1617.345,1793.327,1828.362,1846.595,1805.751,1556.508,1527.996,1649.266,1725.3,1743.725,1655.685,2007.472,2161.483,2142.471,2214.796,2330.308,2445.95,2559.321,2675.974,2793.495,,11.30,2.41,8.65,4.35,2.65,3.50,14.28,17.60,11.36,5.09,2.76,-2.96,-2.58,0.15,4.49,4.07,3.87,-3.21,7.01,9.76,-0.76,2.87,17.82,14.61,14.32,12.43,11.33,5.72,-11.36,17.50,10.88,1.95,1.00,-2.21,-13.80,-1.83,7.94,4.61,1.07,-5.05,21.25,7.67,-0.88,3.38,5.22,4.96,4.64,4.56,4.39
Central African Republic,0.714,0.743,0.719,0.69,0.67,0.883,1.158,1.275,1.372,1.354,1.572,1.498,1.494,1.309,0.858,1.117,1,0.979,1.036,1.039,0.868,0.899,0.983,1.188,1.31,1.413,1.538,1.755,2.033,2.059,2.141,2.435,2.512,1.692,1.896,1.696,1.825,2.072,2.28,2.278,2.389,2.585,2.46,2.631,2.823,3.026,3.267,3.494,3.729,3.979,,4.06,-3.23,-4.03,-2.90,31.79,31.14,10.10,7.61,-1.31,16.10,-4.71,-0.27,-12.38,-34.45,30.19,-10.47,-2.10,5.82,0.29,-16.46,3.57,9.34,20.85,10.27,7.86,8.85,14.11,15.84,1.28,3.98,13.73,3.16,-32.64,12.06,-10.55,7.61,13.53,10.04,-0.09,4.87,8.20,-4.84,6.95,7.30,7.19,7.96,6.95,6.73,6.70
Chad,1.006,1.19,1.15,1.151,1.236,1.34,1.65,1.87,2.186,2.065,2.488,2.465,2.57,2.246,1.819,2.23,2.479,2.382,2.69,2.37,2.142,2.638,3.076,4.227,6.816,9.097,10.249,11.993,14.354,12.998,14.289,16.237,16.174,16.92,18.213,14.508,13.4,13.344,15.334,14.917,14.615,15.933,16.261,17.605,18.67,19.647,20.866,21.973,23.216,24.517,,18.29,-3.36,0.09,7.38,8.41,23.13,13.33,16.90,-5.54,20.48,-0.92,4.26,-12.61,-19.01,22.59,11.17,-3.91,12.93,-11.90,-9.62,23.16,16.60,37.42,61.25,33.47,12.66,17.02,19.69,-9.45,9.93,13.63,-0.39,4.61,7.64,-20.34,-7.64,-0.42,14.91,-2.72,-2.02,9.02,2.06,8.27,6.05,5.23,6.20,5.31,5.66,5.60
Chile,29.032,34.374,25.63,20.819,20.246,17.36,18.662,22.01,25.947,29.889,33.231,38.249,46.597,49.855,57.517,74.119,78.575,85.73,81.996,75.596,78.25,71.517,70.295,76.508,99.079,122.315,153.84,172.565,179.663,171.794,217.105,251.225,267.165,277.218,259.394,242.515,249.306,276.357,295.428,278.04,254.06,315.601,302.16,335.642,328.72,362.24,379.154,396.045,413.373,431.958,,18.40,-25.44,-18.77,-2.75,-14.25,7.50,17.94,17.89,15.19,11.18,15.10,21.83,6.99,15.37,28.86,6.01,9.11,-4.36,-7.81,3.51,-8.60,-1.71,8.84,29.50,23.45,25.77,12.17,4.11,-4.38,26.38,15.72,6.34,3.76,-6.43,-6.51,2.80,10.85,6.90,-5.89,-8.62,24.22,-4.26,11.08,-2.06,10.20,4.67,4.45,4.38,4.50
"China, People's Republic of",303.004,288.699,284.601,305.428,314.23,310.133,300.92,327.728,408.663,458.18,396.59,413.209,492.148,617.433,561.686,730.996,860.468,957.991,1024.167,1088.346,1205.532,1333.649,1465.829,1656.962,1949.446,2290.019,2754.149,3555.655,4577.28,5088.992,6033.83,7492.212,8539.584,9624.928,10524.241,11113.508,11226.897,12265.327,13841.812,14340.6,14862.564,17759.307,17848.54,17758.046,18273.357,19534.894,20810.882,22050.806,23319.715,24589.667,,-4.72,-1.42,7.32,2.88,-1.30,-2.97,8.91,24.70,12.12,-13.44,4.19,19.10,25.46,-9.03,30.14,17.71,11.33,6.91,6.27,10.77,10.63,9.91,13.04,17.65,17.47,20.27,29.10,28.73,11.18,18.57,24.17,13.98,12.71,9.34,5.60,1.02,9.25,12.85,3.60,3.64,19.49,0.50,-0.51,2.90,6.90,6.53,5.96,5.75,5.45
Colombia,46.501,50.661,54.252,53.92,53.257,48.581,48.648,50.64,54.592,55.048,56.071,57.954,68.579,77.721,97.665,110.564,116.13,127.49,117.725,103.132,99.27,97.606,97.353,94.072,116.382,145.601,161.793,206.229,242.504,232.469,286.498,334.966,370.691,382.093,381.24,293.493,282.72,311.889,334.124,323.055,270.348,318.525,345.33,363.57,417.207,419.331,440.295,462.301,486.406,511.227,,8.95,7.09,-0.61,-1.23,-8.78,0.14,4.09,7.80,0.84,1.86,3.36,18.33,13.33,25.66,13.21,5.03,9.78,-7.66,-12.40,-3.74,-1.68,-0.26,-3.37,23.72,25.11,11.12,27.46,17.59,-4.14,23.24,16.92,10.67,3.08,-0.22,-23.02,-3.67,10.32,7.13,-3.31,-16.32,17.82,8.42,5.28,14.75,0.51,5.00,5.00,5.21,5.10
Comoros,0.243,0.213,0.202,0.196,0.189,0.192,0.258,0.313,0.336,0.329,0.402,0.401,0.437,0.428,0.315,0.393,0.392,0.363,0.364,0.372,0.34,0.373,0.427,0.547,0.622,0.656,0.689,0.796,0.916,0.904,0.909,1.023,1.016,1.116,1.15,0.966,1.013,1.077,1.179,1.188,1.218,1.273,1.225,1.34,1.45,1.535,1.637,1.737,1.839,1.947,,-12.35,-5.16,-2.97,-3.57,1.59,34.38,21.32,7.35,-2.08,22.19,-0.25,8.98,-2.06,-26.40,24.76,-0.25,-7.40,0.28,2.20,-8.60,9.71,14.48,28.10,13.71,5.47,5.03,15.53,15.08,-1.31,0.55,12.54,-0.68,9.84,3.05,-16.00,4.87,6.32,9.47,0.76,2.53,4.52,-3.77,9.39,8.21,5.86,6.64,6.11,5.87,5.87
"Congo, Dem. Rep. of the",68.606,59.726,64.939,52.378,34.951,31.943,35.84,33.932,39.314,40.006,41.448,40.25,36.333,47.45,25.746,25.021,32.099,28.819,21.089,19.147,19.077,7.246,8.72,9.022,10.275,12.72,15.403,18.598,22.665,18.626,22.34,26.406,30.074,34.908,38.355,40.154,38.086,39.461,48.037,50.891,49.613,57.592,65.768,66.923,72.483,79.237,84.463,90.105,95.147,100.512,,-12.94,8.73,-19.34,-33.27,-8.61,12.20,-5.32,15.86,1.76,3.60,-2.89,-9.73,30.60,-45.74,-2.82,28.29,-10.22,-26.82,-9.21,-0.37,-62.02,20.34,3.46,13.89,23.80,21.09,20.74,21.87,-17.82,19.94,18.20,13.89,16.07,9.87,4.69,-5.15,3.61,21.73,5.94,-2.51,16.08,14.20,1.76,8.31,9.32,6.60,6.68,5.60,5.64
"Congo, Republic of ",2.165,1.775,1.548,1.407,1.294,1.327,1.815,2.205,2.346,2.478,2.909,3.035,3.28,3.004,2.068,2.457,2.84,2.568,2.24,2.646,3.624,3.038,3.33,3.863,5.101,6.654,8.073,8.784,11.649,9.713,13.159,15.653,17.704,17.959,17.918,11.891,10.928,11.83,14.781,13.977,11.485,13.387,13.967,14.169,15.044,15.92,16.817,17.737,18.82,20.148,,-18.01,-12.79,-9.11,-8.03,2.55,36.77,21.49,6.39,5.63,17.39,4.33,8.07,-8.41,-31.16,18.81,15.59,-9.58,-12.77,18.12,36.96,-16.17,9.61,16.01,32.05,30.45,21.33,8.81,32.62,-16.62,35.48,18.95,13.10,1.44,-0.23,-33.64,-8.10,8.25,24.95,-5.44,-17.83,16.56,4.33,1.45,6.18,5.82,5.63,5.47,6.11,7.06
Costa Rica,4.854,2.636,2.619,3.162,3.678,3.941,4.425,4.554,4.636,5.25,5.737,7.197,8.566,9.586,10.489,11.578,11.683,12.618,13.688,14.259,15.016,15.979,16.584,17.277,18.615,20.049,22.717,26.885,30.802,30.746,37.656,42.762,47.231,50.949,52.017,56.442,58.847,60.517,62.422,64.412,62.382,64.954,69.235,86.509,95.149,100.67,106.796,113.212,120.01,127.08,,-45.69,-0.64,20.73,16.32,7.15,12.28,2.92,1.80,13.24,9.28,25.45,19.02,11.91,9.42,10.38,0.91,8.00,8.48,4.17,5.31,6.41,3.79,4.18,7.74,7.70,13.31,18.35,14.57,-0.18,22.47,13.56,10.45,7.87,2.10,8.51,4.26,2.84,3.15,3.19,-3.15,4.12,6.59,24.95,9.99,5.80,6.09,6.01,6.00,5.89
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.568,7.355,16.663,20.65,22.097,22.094,23.963,23.585,22.138,23.063,26.739,35.249,41.836,45.05,49.601,59.325,68.515,62.028,58.886,62.756,57.447,59.592,59.506,51.016,52.726,56.302,61.886,61.871,58.179,69.651,72.059,82.711,89.665,96.028,101.551,106.368,111.485,116.917,,,,,,,,,,,,,,1194.89,126.55,23.93,7.01,-0.01,8.46,-1.58,-6.14,4.18,15.94,31.83,18.69,7.68,10.10,19.60,15.49,-9.47,-5.07,6.57,-8.46,3.73,-0.14,-14.27,3.35,6.78,9.92,-0.02,-5.97,19.72,3.46,14.78,8.41,7.10,5.75,4.74,4.81,4.87
Cyprus,2.314,2.242,2.319,2.321,2.447,2.611,3.317,3.979,4.589,4.901,6.003,6.195,7.424,7.098,8.004,9.937,10.016,9.544,10.251,10.502,9.988,10.397,11.422,14.552,17.328,18.713,20.422,24.082,27.955,26.02,25.821,27.637,25.063,23.96,23.232,19.911,21.041,22.938,25.609,25.95,25.207,29.502,29.274,32.239,34.79,37.689,39.813,41.878,44.017,46.35,,-3.11,3.43,0.09,5.43,6.70,27.04,19.96,15.33,6.80,22.49,3.20,19.84,-4.39,12.76,24.15,0.80,-4.71,7.41,2.45,-4.89,4.09,9.86,27.40,19.08,7.99,9.13,17.92,16.08,-6.92,-0.76,7.03,-9.31,-4.40,-3.04,-14.29,5.68,9.02,11.64,1.33,-2.86,17.04,-0.77,10.13,7.91,8.33,5.64,5.19,5.11,5.30
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.565,67.805,62.53,67.161,65.586,62.171,68.136,82.596,100.471,120.148,137.264,156.236,189.845,236.82,207.095,211.169,231.429,210.363,213.024,210.911,189.108,198.161,221.564,251.992,256.794,251.11,290.973,301.831,343.208,342.992,360.233,377.338,392.318,408.002,424.725,,,,,,,,,,,,,,,,,11.95,-7.78,7.41,-2.35,-5.21,9.59,21.22,21.64,19.58,14.25,13.82,21.51,24.74,-12.55,1.97,9.59,-9.10,1.26,-0.99,-10.34,4.79,11.81,13.73,1.91,-2.21,15.87,3.73,13.71,-0.06,5.03,4.75,3.97,4.00,4.10
Côte d'Ivoire,13.877,11.502,10.32,9.312,9.284,9.47,12.675,13.944,14.092,13.487,14.923,14.504,15.416,15.268,11.492,15.205,16.78,16.203,17.433,17.114,14.851,15.485,17.148,21.206,22.924,23.626,24.628,28.158,33.621,33.693,34.431,35.529,37.03,43.228,48.882,45.815,48.408,52.512,58.522,60.383,63.119,72.833,70.324,78.887,86.993,95.462,103.94,113.758,123.482,133.761,,-17.11,-10.28,-9.77,-0.30,2.00,33.84,10.01,1.06,-4.29,10.65,-2.81,6.29,-0.96,-24.73,32.31,10.36,-3.44,7.59,-1.83,-13.22,4.27,10.74,23.66,8.10,3.06,4.24,14.33,19.40,0.21,2.19,3.19,4.22,16.74,13.08,-6.27,5.66,8.48,11.45,3.18,4.53,15.39,-3.44,12.18,10.28,9.74,8.88,9.45,8.55,8.32
Denmark,70.811,61.46,60.084,60.331,58.869,62.452,87.749,109.183,115.54,112.312,138.219,139.182,152.966,143.11,156.019,184.85,187.482,173.242,176.876,177.887,164.043,164.881,178.788,218.422,251.988,265.15,283.387,320.213,354.977,322.621,322.346,344.316,326.793,344.631,352.833,301.759,312.182,331.611,355.293,345.402,355.631,408.378,401.946,407.092,412.293,431.228,448.531,465.97,484.417,503.673,,-13.21,-2.24,0.41,-2.42,6.09,40.51,24.43,5.82,-2.79,23.07,0.70,9.90,-6.44,9.02,18.48,1.42,-7.60,2.10,0.57,-7.78,0.51,8.43,22.17,15.37,5.22,6.88,12.99,10.86,-9.11,-0.09,6.82,-5.09,5.46,2.38,-14.48,3.45,6.22,7.14,-2.78,2.96,14.83,-1.58,1.28,1.28,4.59,4.01,3.89,3.96,3.98
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.635,0.65,0.672,0.655,0.691,0.699,0.694,0.706,0.722,0.759,0.781,0.811,0.837,0.882,0.936,0.996,1.08,1.191,1.382,1.426,1.544,1.74,1.901,2.044,2.221,2.424,2.605,2.763,2.913,3.089,3.185,3.386,3.726,4.011,4.334,4.665,5.041,5.426,5.846,6.235,,,,,,,,,,,,2.36,3.38,-2.53,5.50,1.16,-0.72,1.73,2.27,5.12,2.90,3.84,3.21,5.38,6.12,6.41,8.43,10.28,16.04,3.18,8.27,12.69,9.25,7.52,8.66,9.14,7.47,6.07,5.43,6.04,3.11,6.31,10.04,7.65,8.05,7.64,8.06,7.64,7.74,6.65
Dominica,0.073,0.082,0.09,0.099,0.109,0.119,0.135,0.152,0.171,0.185,0.201,0.22,0.234,0.246,0.264,0.275,0.292,0.303,0.322,0.332,0.333,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.498,0.52,0.541,0.576,0.522,0.555,0.612,0.504,0.555,0.607,0.654,0.703,0.748,0.788,0.827,0.867,0.905,,12.33,9.76,10.00,10.10,9.17,13.45,12.59,12.50,8.19,8.65,9.45,6.36,5.13,7.32,4.17,6.18,3.77,6.27,3.11,0.30,2.10,-2.06,3.00,7.00,-0.82,7.14,7.95,8.79,6.77,1.02,1.42,-2.99,2.47,4.42,4.04,6.47,-9.37,6.32,10.27,-17.65,10.12,9.37,7.74,7.49,6.40,5.35,4.95,4.84,4.38
Dominican Republic,8.672,9.698,9.141,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.206,48.319,53.921,58.088,60.747,62.758,67.264,71.254,75.777,80.082,85.63,89.032,78.923,94.458,113.873,121.785,126.238,135.545,145.399,155.87,167.089,179.03,,11.83,-5.74,3.50,57.17,-56.31,21.47,5.25,-8.43,12.94,-6.92,23.66,17.38,12.72,11.96,13.60,9.65,9.73,8.27,2.15,9.80,5.33,6.43,-21.03,4.59,59.73,5.70,15.97,9.39,0.23,11.59,7.73,4.58,3.31,7.18,5.93,6.35,5.68,6.93,3.97,-11.35,19.68,20.55,6.95,3.66,7.37,7.27,7.20,7.20,7.15
Ecuador,16.116,16.501,16.474,14.478,15.408,18.02,13.222,12.355,11.749,11.531,11.71,13.139,14.367,16.783,20.238,21.98,23.001,25.847,26.292,18.891,17.531,23.127,27.054,30.965,35.195,40.279,45.691,49.849,61.139,60.095,68.151,78.987,87.735,96.57,102.718,97.21,97.671,104.467,107.479,107.596,95.865,107.435,116.586,118.845,121.425,125.658,129.682,134.808,140.267,145.992,,2.39,-0.16,-12.12,6.42,16.95,-26.63,-6.56,-4.90,-1.86,1.55,12.20,9.35,16.82,20.59,8.61,4.65,12.37,1.72,-28.15,-7.20,31.92,16.98,14.46,13.66,14.45,13.44,9.10,22.65,-1.71,13.41,15.90,11.08,10.07,6.37,-5.36,0.47,6.96,2.88,0.11,-10.90,12.07,8.52,1.94,2.17,3.49,3.20,3.95,4.05,4.08
Egypt,23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.25,71.118,79.777,89.189,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,294.482,303.194,321.634,350.119,351.443,246.826,263.156,317.894,382.525,423.3,475.231,393.828,380.044,345.874,387.243,431.16,479.957,533.467,,9.51,18.32,22.23,12.44,16.60,10.72,43.06,19.61,24.68,-16.71,-49.60,-8.80,12.13,10.14,15.95,12.44,12.18,11.80,6.56,10.22,-2.37,-11.75,-5.65,-2.71,13.60,19.95,21.39,24.62,16.11,15.99,7.70,18.87,2.96,6.08,8.86,0.38,-29.77,6.62,20.80,20.33,10.66,12.27,-17.13,-3.50,-8.99,11.96,11.34,11.32,11.15
El Salvador,3.912,3.449,3.406,3.261,2.385,2.319,2.335,2.374,2.771,3.167,4.818,5.252,5.813,6.68,7.679,8.922,9.586,10.222,10.937,11.284,11.785,12.283,12.664,13.244,13.725,14.698,16,17.012,17.987,17.602,18.448,20.284,21.386,21.991,22.593,23.438,24.191,24.979,26.021,26.881,24.921,29.043,31.989,34.016,35.848,37.843,39.598,41.434,43.383,45.446,,-11.84,-1.25,-4.26,-26.86,-2.77,0.69,1.67,16.72,14.29,52.13,9.01,10.68,14.91,14.96,16.19,7.44,6.63,6.99,3.17,4.44,4.23,3.10,4.58,3.63,7.09,8.86,6.33,5.73,-2.14,4.81,9.95,5.43,2.83,2.74,3.74,3.21,3.26,4.17,3.31,-7.29,16.54,10.14,6.34,5.39,5.57,4.64,4.64,4.70,4.76
Equatorial Guinea,0.032,0.03,0.035,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.159,1.674,2.07,3.733,5.935,8.191,10.096,13.091,19.828,15.072,16.328,21.354,22.403,21.949,21.771,13.187,11.238,12.197,13.309,11.365,9.908,12.222,13.516,11.975,12.884,12.918,13.386,13.73,13.58,14.271,,-6.25,16.67,14.29,10.00,68.18,22.97,21.98,7.21,-11.76,26.67,-0.75,21.21,1.25,-25.93,40.83,63.31,90.58,-16.35,67.73,57.05,44.43,23.66,80.34,58.99,38.01,23.26,29.67,51.46,-23.99,8.33,30.78,4.91,-2.03,-0.81,-39.43,-14.78,8.53,9.12,-14.61,-12.82,23.35,10.59,-11.40,7.59,0.26,3.62,2.57,-1.09,5.09
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.606,0.374,0.433,0.483,0.579,0.594,0.626,0.614,0.547,0.582,0.564,0.673,0.858,0.85,0.937,1.02,0.923,1.297,1.59,2.065,2.255,1.958,2.604,2.016,2.213,1.904,2.006,1.982,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,,,,,,,,,,,,,,-38.28,15.78,11.55,19.88,2.59,5.39,-1.92,-10.91,6.40,-3.09,19.33,27.49,-0.93,10.24,8.86,-9.51,40.52,22.59,29.87,9.20,-13.17,32.99,-22.58,9.77,-13.96,5.36,-1.20,,,,,,,,,,
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.791,2.507,3.909,4.785,5.16,5.678,5.771,5.707,6.274,7.393,9.894,12.161,14.129,17.049,22.478,24.434,19.694,19.569,23.3,23.252,25.451,27.063,23.314,24.554,27.46,31.237,31.877,31.791,37.222,38.401,41.297,43.044,45.309,47.58,49.576,51.735,54.062,,,,,,,,,,,,,,,39.98,55.92,22.41,7.84,10.04,1.64,-1.11,9.94,17.84,33.83,22.91,16.18,20.67,31.84,8.70,-19.40,-0.63,19.07,-0.21,9.46,6.33,-13.85,5.32,11.84,13.75,2.05,-0.27,17.08,3.17,7.54,4.23,5.26,5.01,4.20,4.35,4.50
Eswatini,0.754,0.798,0.714,0.734,0.628,0.497,0.635,0.831,0.986,1.006,1.237,1.285,1.425,1.497,1.621,1.932,1.83,1.957,1.797,1.764,1.739,1.544,1.436,2.198,2.774,3.177,3.293,3.465,3.298,3.596,4.438,4.826,4.887,4.6,4.426,4.061,3.815,4.407,4.667,4.495,3.984,4.851,4.791,4.856,5.145,5.422,5.677,5.908,6.153,6.393,,5.84,-10.53,2.80,-14.44,-20.86,27.77,30.87,18.65,2.03,22.96,3.88,10.89,5.05,8.28,19.19,-5.28,6.94,-8.18,-1.84,-1.42,-11.21,-6.99,53.06,26.21,14.53,3.65,5.22,-4.82,9.04,23.41,8.74,1.26,-5.87,-3.78,-8.25,-6.06,15.52,5.90,-3.69,-11.37,21.76,-1.24,1.36,5.95,5.38,4.70,4.07,4.15,3.90
Ethiopia,7.385,7.578,7.973,8.863,8.375,9.808,10.188,10.89,11.285,11.872,12.595,13.928,14.696,9.143,8.135,7.887,8.794,8.621,7.815,7.515,8.167,8.103,7.828,8.604,10.122,12.387,15.31,19.329,26.25,28.672,26.887,30.48,42.221,46.544,54.165,63.081,72.12,76.841,80.207,92.608,96.611,99.269,118.968,159.747,145.031,120.913,138.354,157.97,179.189,201.58,,2.61,5.21,11.16,-5.51,17.11,3.87,6.89,3.63,5.20,6.09,10.58,5.51,-37.79,-11.02,-3.05,11.50,-1.97,-9.35,-3.84,8.68,-0.78,-3.39,9.91,17.64,22.38,23.60,26.25,35.81,9.23,-6.23,13.36,38.52,10.24,16.37,16.46,14.33,6.55,4.38,15.46,4.32,2.75,19.84,34.28,-9.21,-16.63,14.42,14.18,13.43,12.50
Fiji,1.303,1.339,1.293,1.217,1.276,1.236,1.398,1.276,1.202,1.281,1.448,1.5,1.659,1.772,1.977,2.134,2.307,2.268,1.795,2.104,1.824,1.798,1.996,2.509,2.954,3.257,3.361,3.688,3.816,3.106,3.402,4.094,4.303,4.539,4.857,4.682,4.93,5.353,5.581,5.444,4.432,4.305,4.97,5.442,5.773,6.081,6.415,6.767,7.136,7.516,,2.76,-3.44,-5.88,4.85,-3.13,13.11,-8.73,-5.80,6.57,13.04,3.59,10.60,6.81,11.57,7.94,8.11,-1.69,-20.86,17.21,-13.31,-1.43,11.01,25.70,17.74,10.26,3.19,9.73,3.47,-18.61,9.53,20.34,5.11,5.48,7.01,-3.60,5.30,8.58,4.26,-2.45,-18.59,-2.87,15.45,9.50,6.08,5.34,5.49,5.49,5.45,5.33
Finland,53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.726,128.215,113.139,89.177,103.621,134.21,132.046,127.027,134.164,135.369,126.023,129.521,140.262,171.57,197.369,204.973,217.056,256.39,285.667,253.206,249.633,275.079,257.606,270.272,273.549,233.234,238.712,253.757,273.993,267.044,269.784,294.419,280.462,295.618,306.083,319.989,333.638,345.727,358.352,371.296,,-2.04,0.93,-3.87,3.87,6.02,31.00,24.61,19.05,9.02,18.99,-9.53,-11.76,-21.18,16.20,29.52,-1.61,-3.80,5.62,0.90,-6.90,2.78,8.29,22.32,15.04,3.85,5.89,18.12,11.42,-11.36,-1.41,10.19,-6.35,4.92,1.21,-14.74,2.35,6.30,7.97,-2.54,1.03,9.13,-4.74,5.40,3.54,4.54,4.27,3.62,3.65,3.61
France,695.475,612.552,581.254,555.956,526.671,551.596,766.302,927.257,1012.843,1017.702,1260.874,1263.244,1392.563,1315.795,1388.477,1596.25,1599.248,1451.058,1498.974,1488.392,1361.56,1370.386,1491.373,1834.637,2108.835,2193.358,2317.985,2656.13,2926.483,2697.144,2648.391,2869.903,2684.706,2816.119,2861.973,2442.731,2469.726,2587.955,2782.838,2723.094,2645.806,2968.405,2798.502,3052.712,3174.099,3283.429,3398.061,3500.28,3612.349,3725.937,,-11.92,-5.11,-4.35,-5.27,4.73,38.92,21.00,9.23,0.48,23.89,0.19,10.24,-5.51,5.52,14.96,0.19,-9.27,3.30,-0.71,-8.52,0.65,8.83,23.02,14.95,4.01,5.68,14.59,10.18,-7.84,-1.81,8.36,-6.45,4.89,1.63,-14.65,1.11,4.79,7.53,-2.15,-2.84,12.19,-5.72,9.08,3.98,3.44,3.49,3.01,3.20,3.14
Gabon,4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.023,5.332,6.51,7.767,9.468,10.164,12.457,15.57,12.188,14.384,18.207,17.181,17.596,18.209,14.385,14.02,14.924,16.83,16.875,15.364,19.455,20.485,20.059,20.897,20.974,21.503,22.063,22.695,23.382,,-9.83,-6.28,-4.26,-3.85,5.33,30.86,-24.34,10.27,9.29,42.19,-9.23,3.49,-3.32,-22.48,18.33,14.83,-6.45,-15.85,4.02,8.68,-6.93,6.15,22.09,19.31,21.90,7.35,22.56,24.99,-21.72,18.02,26.58,-5.64,2.42,3.48,-21.00,-2.54,6.45,12.77,0.27,-8.95,26.63,5.29,-2.08,4.18,0.37,2.52,2.60,2.86,3.03
"Gambia, The",0.606,0.579,0.548,0.551,0.396,0.482,0.376,0.504,0.585,0.614,0.721,0.76,0.82,0.878,0.87,0.909,0.949,0.983,1.009,1.036,1.01,1.002,0.887,0.843,0.962,1.028,1.054,1.28,1.562,1.45,1.543,1.41,1.415,1.376,1.229,1.355,1.47,1.498,1.662,1.806,1.809,2.045,2.161,2.361,2.693,3.014,3.241,3.427,3.633,3.912,,-4.46,-5.35,0.55,-28.13,21.72,-21.99,34.04,16.07,4.96,17.43,5.41,7.89,7.07,-0.91,4.48,4.40,3.58,2.64,2.68,-2.51,-0.79,-11.48,-4.96,14.12,6.86,2.53,21.44,22.03,-7.17,6.41,-8.62,0.35,-2.76,-10.68,10.25,8.49,1.90,10.95,8.66,0.17,13.05,5.67,9.25,14.06,11.92,7.53,5.74,6.01,7.68
